ID,Orderable Part,Root Part,ProductFamily,description,ProductLifeCycle
34,806-0683-24+D,806-0683,Timing & Datacom,Custom ASIC - PMU,PRODUCTION
35,806-0690-21+,806-0690,Timing & Datacom,OSCILLOSCOPE FRONT-END ASIC,PRODUCTION
36,806-0690-21+T,806-0690,Timing & Datacom,Siliscope Frontend ASIC,PRODUCTION
37,806-0713-91,806-0713,Timing & Datacom,GPS ASIC,PRODUCTION
38,806-0714-20+D,806-0714-20,Timing & Datacom,DCL with Integrated PMU and level setters,PRODUCTION
39,806-0727-20+T,806-0727-20,Timing & Datacom,Condor GPS ASIC,PRODUCTION
40,ADC0820CCM+,ADC0820,Power & Data Conv,CMOS High-Speed 8-Bit A/D Converter with Track/Hold Function,PRODUCTION
41,ADC0820CCM+T,ADC0820,Power & Data Conv,CMOS High-Speed 8-Bit A/D Converter with Track/Hold Function,PRODUCTION
42,ADC0820CCN+,ADC0820,Power & Data Conv,CMOS High-Speed 8-Bit A/D Converter with Track/Hold Function,PRODUCTION
43,CMAXQUSB+,CMAXQUSB,Advanced Sensor Prod,Eval Board for  SPI and SMBus/I²C-Compatible Parts,PRODUCTION
44,CMOD232+,MAX9850EVKIT,Timing & Datacom,Maxim Command Module Used to Interface a Product Eval Kit to aComputer's RS232 Port,PRODUCTION
45,DG200AAK,DG200A,MV Sw,"Dual Monolithic SPST, CMOS Analog Switch",PRODUCTION
46,DG200AAK/883B,DG200A,Signal Chain,"Dual Monolithic SPST, CMOS Analog Switch",PRODUCTION
47,DG200ACJ+,DG200A,MV Sw,"Dual Monolithic SPST, CMOS Analog Switch",PRODUCTION
48,DG200ACY+,DG200A,MV Sw,"Dual Monolithic SPST, CMOS Analog Switch",PRODUCTION
49,DG200ACY+T,DG200A,MV Sw,"Dual Monolithic SPST, CMOS Analog Switch",PRODUCTION
50,DG200ADY+,DG200A,MV Sw,"Dual Monolithic SPST, CMOS Analog Switch",PRODUCTION
51,DG200ADY+T,DG200A,MV Sw,"Dual Monolithic SPST, CMOS Analog Switch",PRODUCTION
52,DG201AAK,DG201A,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
53,DG201AAK/883B,DG201A,Signal Chain,Quad SPST CMOS Analog Switches,PRODUCTION
54,DG201ABK,DG201A,MV Sw,Quad SPST CMOS Analog Switches,LAST TIME BUY
55,DG201ACJ+,DG201A,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
56,DG201ACSE+,DG201A,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
57,DG201ACSE+T,DG201A,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
58,DG201ADJ+,DG201A,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
59,DG201ADY+,DG201A,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
60,DG201ADY+T,DG201A,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
61,DG201ADY/GG8,DG201A,Signal Chain,Quad SPST CMOS Analog Switches,PRODUCTION
62,DG202AK,DG202,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
63,DG202AK/883B,DG202,Signal Chain,Quad SPST CMOS Analog Switches,PRODUCTION
64,DG202CJ+,DG202,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
65,DG202CSE+,DG202,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
66,DG202CSE+T,DG202,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
67,DG202DY+,DG202,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
68,DG202DY+T,DG202,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
69,DG211CJ+,DG211,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
70,DG211CSE+,DG211,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
71,DG211CSE+T,DG211,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
72,DG211CUE+,DG211,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
73,DG211CUE+T,DG211,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
74,DG211CY+,DG211,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
75,DG211CY+T,DG211,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
76,DG211DJ+,DG211,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
77,DG211DY+,DG211,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
78,DG211DY+T,DG211,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
79,DG211EUE+,DG211,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
80,DG211EUE+T,DG211,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
81,DG212CJ+,DG212,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
82,DG212CSE+,DG212,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
83,DG212CSE+T,DG212,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
84,DG212CY+,DG212,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
85,DG212CY+T,DG212,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
86,DG212DJ+,DG212,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
87,DG212DY+,DG212,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
88,DG212DY+T,DG212,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
89,DG212ETE+,DG212,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
90,DG212ETE+T,DG212,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
91,DG212EUE+,DG212,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
92,DG212EUE+T,DG212,MV Sw,Quad SPST CMOS Analog Switches,PRODUCTION
93,DG300AAK,DG300A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
94,DG300AAK/883B,DG300A,Signal Chain,TTL Compatible CMOS Analog Switches,PRODUCTION
95,DG300ABWE+,DG300A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
96,DG300ABWE+T,DG300A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
97,DG300ACJ+,DG300A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
98,DG300ACWE+,DG300A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
99,DG300ACWE+T,DG300A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
100,DG301AAK/883B,DG301A,Signal Chain,TTL Compatible CMOS Analog Switches,PRODUCTION
101,DG301AC/D,DG301A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
102,DG301ACJ+,DG301A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
103,DG301ACWE+,DG301A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
104,DG301ACWE+T,DG301A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
105,DG302AAK/883B,DG302A,Signal Chain,TTL Compatible CMOS Analog Switches,PRODUCTION
106,DG302ACJ+,DG302A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
107,DG302ACWE+,DG302A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
108,DG302ACWE+T,DG302A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
109,DG303AAK,DG303A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
110,DG303AAK/883B,DG303A,Signal Chain,TTL Compatible CMOS Analog Switches,PRODUCTION
111,DG303AAZ/883B,DG303A,Signal Chain,TTL Compatible CMOS Analog Switches,PRODUCTION
112,DG303ABK,DG303A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
113,DG303ABWE+,DG303A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
114,DG303AC/D,DG303A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
115,DG303ACJ+,DG303A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
116,DG303ACWE+,DG303A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
117,DG303ACWE+T,DG303A,MV Sw,TTL Compatible CMOS Analog Switches,PRODUCTION
118,DG304ACJ+,DG304A,MV Sw,CMOS Analog Switches,PRODUCTION
119,DG304ACWE+,DG304A,MV Sw,CMOS Analog Switches,PRODUCTION
120,DG304ACWE+T,DG304A,MV Sw,CMOS Analog Switches,PRODUCTION
121,DG305ACJ+,DG305A,MV Sw,CMOS Analog Switches,PRODUCTION
122,DG305ACWE+,DG305A,MV Sw,CMOS Analog Switches,PRODUCTION
123,DG305ACWE+T,DG305A,MV Sw,CMOS Analog Switches,PRODUCTION
124,DG307AAK/883B,DG307A,Signal Chain,CMOS Analog Switches,PRODUCTION
125,DG307ACJ+,DG307A,MV Sw,CMOS Analog Switches,PRODUCTION
126,DG308AC/D,DG308A,MV Sw,Quad SPST Analog Switches,PRODUCTION
127,DG308ACJ+,DG308A,MV Sw,Quad SPST Analog Switches,PRODUCTION
128,DG309CJ+,DG309,MV Sw,Quad SPST Analog Switches,PRODUCTION
129,DG309DY+,DG309,MV Sw,Quad SPST Analog Switches,PRODUCTION
130,DG309DY+T,DG309,MV Sw,Quad SPST Analog Switches,PRODUCTION
131,DG381ACJ+,DG381A,MV Sw,"Dual SPST, General Purpose, CMOS Analog Switch",PRODUCTION
132,DG381ACWE+,DG381A,MV Sw,"Dual SPST, General Purpose, CMOS Analog Switch",PRODUCTION
133,DG381ACWE+T,DG381A,MV Sw,"Dual SPST, General Purpose, CMOS Analog Switch",PRODUCTION
134,DG390AAK,DG390A,MV Sw,"Dual SPST, General Purpose, CMOS Analog Switch",PRODUCTION
135,DG390AAK/883B,DG390A,Signal Chain,"Dual SPST, General Purpose, CMOS Analog Switch",PRODUCTION
136,DG390ACJ+,DG390A,MV Sw,"Dual SPST, General Purpose, CMOS Analog Switch",PRODUCTION
137,DG390ACWE+,DG390A,MV Sw,"Dual SPST, General Purpose, CMOS Analog Switch",PRODUCTION
138,DG390ACWE+T,DG390A,MV Sw,"Dual SPST, General Purpose, CMOS Analog Switch",PRODUCTION
139,DG401AK/883B,DG401,Signal Chain,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
140,DG401C/D,DG401,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
141,DG401CJ+,DG401,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
142,DG401DY+,DG401,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
143,DG401DY+T,DG401,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
144,DG403AK,DG403,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
145,DG403AK/883B,DG403,Signal Chain,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
146,DG403C/D,DG403,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
147,DG403CJ+,DG403,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
148,DG403CY+,DG403,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
149,DG403CY+T,DG403,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
150,DG403DJ+,DG403,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
151,DG403DY+,DG403,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
152,DG403DY+T,DG403,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
153,DG403DY/GG8,DG403,Signal Chain,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
154,DG405AK/883B,DG405,Signal Chain,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
155,DG405CY+,DG405,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
156,DG405CY+T,DG405,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
157,DG405DY+,DG405,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
158,DG405DY+T,DG405,MV Sw,"Improved, Dual, High-Speed Analog Switches",PRODUCTION
159,DG406AZ/883B,DG406,Signal Chain,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
160,DG406CJ+,DG406,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
161,DG406CWI+,DG406,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
162,DG406CWI+T,DG406,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
163,DG406DJ+,DG406,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
164,DG406DN+,DG406,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
165,DG406DN+T,DG406,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
166,DG406EUI+,DG406,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
167,DG406EUI+T,DG406,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
168,DG406EWI+,DG406,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
169,DG406EWI+T,DG406,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
170,DG407AZ/883B,DG407,Signal Chain,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
171,DG407CJ+,DG407,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
172,DG407CWI+,DG407,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
173,DG407CWI+T,DG407,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
174,DG407DJ+,DG407,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
175,DG407DN+,DG407,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
176,DG407DN+T,DG407,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
177,DG407EWI+,DG407,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
178,DG407EWI+T,DG407,MV Sw,"Improved, 16-Channel/Dual 8-Channel, CMOS Analog Multiplexers",PRODUCTION
179,DG408AK,DG408,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
180,DG408AK/883B,DG408,Signal Chain,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
181,DG408AZ/883B,DG408,Signal Chain,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
182,DG408CJ+,DG408,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
183,DG408CUE+,DG408,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
184,DG408CUE+T,DG408,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
185,DG408CY+,DG408,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
186,DG408CY+T,DG408,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
187,DG408DJ+,DG408,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
188,DG408DY+,DG408,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
189,DG408DY+T,DG408,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
190,DG408EUE+,DG408,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
191,DG408EUE+T,DG408,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
192,DG408MY/PR+,DG408,Signal Chain,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
193,DG408MY/PR+T,DG408,Signal Chain,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
194,DG409AK,DG409,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
195,DG409AK/883B,DG409,Signal Chain,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
196,DG409AZ/883B,DG409,Signal Chain,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
197,DG409C/D,DG409,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
198,DG409CJ+,DG409,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
199,DG409CUE+,DG409,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
200,DG409CUE+T,DG409,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
201,DG409CY+,DG409,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
202,DG409CY+T,DG409,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
203,DG409DJ+,DG409,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
204,DG409DY+,DG409,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
205,DG409DY+T,DG409,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
206,DG409EUE+,DG409,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
207,DG409EUE+T,DG409,MV Sw,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
208,DG409MY/PR+,DG409,Signal Chain,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
209,DG409MY/PR+T,DG409,Signal Chain,"Improved, 8-Channel/Dual 4-Channel, CMOS Analog Multiplexers",PRODUCTION
210,DG411AK,DG411,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
211,DG411AK/883B,DG411,Signal Chain,"Improved, Quad, SPST Analog Switches",PRODUCTION
212,DG411CJ+,DG411,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
213,DG411CUE+,DG411,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
214,DG411CUE+T,DG411,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
215,DG411CY+,DG411,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
216,DG411CY+T,DG411,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
217,DG411DJ+,DG411,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
218,DG411DY+,DG411,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
219,DG411DY+T,DG411,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
220,DG411FDY+,DG411F,MV Sw,"Quad, Rail-to-Rail, Fault-Protected, SPST Analog Switches",PRODUCTION
221,DG411FDY+T,DG411F,MV Sw,"Quad, Rail-to-Rail, Fault-Protected, SPST Analog Switches",PRODUCTION
222,DG411FEUE+,DG411F,MV Sw,"Quad, Rail-to-Rail, Fault-Protected, SPST Analog Switches",PRODUCTION
223,DG411FEUE+T,DG411F,MV Sw,"Quad, Rail-to-Rail, Fault-Protected, SPST Analog Switches",PRODUCTION
224,DG411MY/PR+,DG411,Signal Chain,"Improved, Quad, SPST Analog Switches",PRODUCTION
225,DG412AK,DG412,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
226,DG412AK/883B,DG412,Signal Chain,"Improved, Quad, SPST Analog Switches",PRODUCTION
227,DG412CJ+,DG412,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
228,DG412CUE+,DG412,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
229,DG412CUE+T,DG412,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
230,DG412CY+,DG412,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
231,DG412CY+T,DG412,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
232,DG412DJ+,DG412,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
233,DG412DY+,DG412,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
234,DG412DY+C30206,DG412,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
235,DG412DY+T,DG412,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
236,DG412EUE+,DG412,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
237,DG412EUE+T,DG412,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
238,DG412FDY+,DG412F,MV Sw,"Quad, Rail-to-Rail, Fault-Protected, SPST Analog Switches",PRODUCTION
239,DG412FDY+T,DG412F,MV Sw,"Quad, Rail-to-Rail, Fault-Protected, SPST Analog Switches",PRODUCTION
240,DG412FEUE+,DG412F,MV Sw,"Quad, Rail-to-Rail, Fault-Protected, SPST Analog Switches",PRODUCTION
241,DG412FEUE+T,DG412F,MV Sw,"Quad, Rail-to-Rail, Fault-Protected, SPST Analog Switches",PRODUCTION
242,DG412MY/PR+,DG412,Signal Chain,"Improved, Quad, SPST Analog Switches",PRODUCTION
243,DG412MY/PR+T,DG412,Signal Chain,"Improved, Quad, SPST Analog Switches",PRODUCTION
244,DG413AK,DG413,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
245,DG413AK/883B,DG413,Signal Chain,"Improved, Quad, SPST Analog Switches",PRODUCTION
246,DG413C/D,DG413,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
247,DG413CJ+,DG413,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
248,DG413CUE+,DG413,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
249,DG413CUE+T,DG413,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
250,DG413CY+,DG413,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
251,DG413CY+T,DG413,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
252,DG413DJ+,DG413,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
253,DG413DY+,DG413,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
254,DG413DY+T,DG413,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
255,DG413EUE+,DG413,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
256,DG413EUE+T,DG413,MV Sw,"Improved, Quad, SPST Analog Switches",PRODUCTION
257,DG413FDY+,DG413F,MV Sw,"Quad, Rail-to-Rail, Fault-Protected, SPST Analog Switches",PRODUCTION
258,DG413FDY+T,DG413F,MV Sw,"Quad, Rail-to-Rail, Fault-Protected, SPST Analog Switches",PRODUCTION
259,DG413FEUE+,DG413F,MV Sw,"Quad, Rail-to-Rail, Fault-Protected, SPST Analog Switches",PRODUCTION
260,DG413FEUE+T,DG413F,MV Sw,"Quad, Rail-to-Rail, Fault-Protected, SPST Analog Switches",PRODUCTION
261,DG417AK/883B,DG417,Signal Chain,"Improved, SPST/SPDT Analog Switches",PRODUCTION
262,DG417CJ+,DG417,MV Sw,"Improved, SPST/SPDT Analog Switches",PRODUCTION
263,DG417CY+,DG417,MV Sw,"Improved, SPST/SPDT Analog Switches",PRODUCTION
